"Timestamp","Station","AirTemperatureMax","AirTemperatureMin","RelativeHumidity","Precipitation","WindSpeed2mAvg","WindSpeed2mMax","SoilTemperature5cmMax","SoilTemperature5cmMin","SoilTemperature10cmMax","SoilTemperature10cmMin","SolarRadiation"
1,"Manhattan",18.6,12.0,74.3,0,6.8,20.9,32.3,31.3,33.4,32.7,80.2
2,"Manhattan",40.2,18.1,60.4,0,5.6,19.0,31.7,30.8,32.7,32.4,232.7
3,"Manhattan",52.0,19.3,63.4,0,2.6,11.3,31.8,30.6,32.6,32.3,232.2
4,"Manhattan",57.5,21.6,68.7,0,3.2,12.6,31.8,31.1,32.5,32.4,229.4
5,"Manhattan",65.5,26.9,70.1,0,2.0,9.7,31.9,31.8,32.7,32.5,232.2
6,"Manhattan",61.4,33.6,66.7,0,8.1,25.8,39.1,31.9,37.4,32.7,114.8
7,"Manhattan",59.7,41.2,60.4,0,7.3,23.1,43.6,39.1,42.0,37.4,200.5
8,"Manhattan",51.9,32.1,51.8,0,10.0,26.7,41.3,37.0,40.6,38.3,243.7
9,"Manhattan",42.1,24.8,53.9,0,4.2,14.4,38.2,34.4,38.4,35.9,228.4
10,"Manhattan",48.6,23.5,59.5,0,4.2,17.0,37.1,33.6,36.9,34.9,215.5
11,"Manhattan",40.5,32.2,82.6,0.20,3.0,11.7,36.5,34.5,36.7,35.5,31.5
12,"Manhattan",32.7,30.2,93.5,0.02,10.0,20.9,35.7,35.3,36.3,35.9,76.8
13,"Manhattan",30.7,27.9,89.5,0,5.9,19.4,35.3,35.2,35.9,35.8,62.1
14,"Manhattan",33.6,25.8,94.6,0.13,5.7,14.0,35.2,35.0,35.8,35.6,72.6
15,"Manhattan",33.6,29.5,97.6,0.33,5.5,12.6,35.2,34.9,35.8,35.6,92.4
16,"Manhattan",32.3,27.9,97.2,0,4.8,11.9,35.0,34.5,35.6,35.2,35.3
17,"Manhattan",34.7,29.1,93.0,0.04,4.0,12.9,36.5,34.5,36.5,35.1,69.5
18,"Manhattan",36.5,20.8,97.3,0.10,10.4,33.2,36.1,34.9,36.3,35.6,17.9
19,"Manhattan",20.9,12.1,81.0,0,14.0,33.0,34.9,33.3,35.6,34.3,233.2
20,"Manhattan",31.1,8.2,76.8,0.11,4.8,15.5,33.3,32.8,34.3,33.7,229.4
21,"Manhattan",38.4,16.6,79.8,0.01,8.8,25.1,32.8,32.6,33.7,33.5,123.4
22,"Manhattan",38.8,18.2,88.2,0.25,5.3,24.2,32.7,32.6,33.5,33.4,22.4
23,"Manhattan",31.1,13.8,82.9,0.13,2.2,6.8,32.7,32.5,33.5,33.4,281.9
24,"Manhattan",30.7,6.5,74.7,0,7.3,30.5,32.6,32.4,33.4,33.2,219.8
25,"Manhattan",40.5,3.3,78.5,0,5.5,24.1,32.4,32.0,33.2,32.8,201.2
26,"Manhattan",44.3,21.2,77.1,0,4.4,16.9,32.1,31.9,32.9,32.7,238.4
27,"Manhattan",48.9,27.3,75.7,0,5.8,19.3,32.2,32.0,32.9,32.7,208.1
28,"Manhattan",46.1,18.2,65.4,0.04,14.9,42.0,32.3,32.1,33.0,32.8,194.7
29,"Manhattan",30.7,9.4,69.9,0,6.7,20.3,32.3,31.6,33.0,32.6,190.7
30,"Manhattan",9.6,-0.7,60.8,0,6.6,24.1,31.6,26.5,32.7,30.7,181.6
31,"Manhattan",39.8,7.0,67.3,0,4.5,15.0,31.1,25.6,31.4,29.4,259.2
32,"Manhattan",55.6,17.9,73.7,0,3.0,14.7,31.5,27.8,31.6,30.1,295.9
33,"Manhattan",61.4,41.4,87.7,0.01,7.1,26.3,32.4,31.5,31.9,31.6,122.7
34,"Manhattan",69.5,54.8,75.8,0,10.4,27.3,41.6,32.4,39.2,31.9,185.7
35,"Manhattan",57.3,18.2,78.5,0,11.0,27.5,41.4,33.8,39.5,35.2,261.3
36,"Manhattan",21.5,16.1,83.6,0,6.9,14.2,33.8,32.5,35.2,33.4,66.3
37,"Manhattan",21.4,15.8,91.4,0,8.4,20.3,32.5,31.9,33.5,32.8,45.3
38,"Manhattan",18.0,7.4,68.6,0,13.1,31.0,32.0,28.6,32.9,32.1,269.7
39,"Manhattan",28.5,4.1,56.4,0.02,4.0,12.6,31.2,25.8,32.1,30.5,328.6
