"Timestamp","Station","AirTemperatureMax","AirTemperatureMin","RelativeHumidity","Precipitation","WindSpeed2mAvg","WindSpeed2mMax","SoilTemperature5cmMax","SoilTemperature5cmMin","SoilTemperature10cmMax","SoilTemperature10cmMin","SolarRadiation"
1,"Cherokee",44.1,26.7,63.4,0,2.6,12.6,45.2,42.6,44.7,41.2,259.2
2,"Cherokee",50.3,30.4,72.2,0,3.1,13.9,44.2,41.8,44.4,40.5,135.6
3,"Cherokee",42.3,27.6,71.5,0,4.1,15.0,43.7,42.2,43.7,40.9,209.8
4,"Cherokee",37.6,29.0,76.8,0.03,5.8,17.9,42.2,41.1,41.2,40.2,38.9
5,"Cherokee",34.2,14.4,89.5,0.30,9.3,22.1,41.7,38.9,41.1,37.3,32.9
6,"Cherokee",19.7,10.8,72.7,0,5.9,16.9,38.9,37.0,37.3,35.6,212.6
7,"Cherokee",28.2,8.3,70.9,0.01,3.2,11.9,37.0,35.8,35.6,34.5,271.4
8,"Cherokee",29.4,12.1,70.3,0,3.0,9.3,35.8,35.1,34.5,33.9,269.5
9,"Cherokee",33.3,19.4,79.6,0,3.2,12.9,35.1,34.8,33.9,33.7,80.0
10,"Cherokee",35.5,15.6,87.7,0.25,2.7,14.4,35.3,34.8,34.5,33.7,149.2
11,"Cherokee",39.6,14.8,75.9,0.15,4.8,21.8,35.4,35.1,34.7,34.2,272.1
12,"Cherokee",47.4,23.7,73.2,0,3.1,13.6,36.4,35.4,36.3,34.6,266.1
13,"Cherokee",32.8,14.1,61.4,0,1.8,6.6,36.0,34.8,35.1,33.9,286.2
14,"Cherokee",42.6,22.8,63.6,0,3.9,13.8,35.1,34.6,34.5,33.7,237.7
15,"Cherokee",43.9,17.2,65.6,0,3.4,11.7,36.1,34.8,36.2,33.9,282.3
16,"Cherokee",56.7,28.5,57.5,0,3.0,9.9,38.1,35.0,39.0,34.2,285.0
17,"Cherokee",59.7,38.6,55.9,0,8.3,29.3,40.0,36.4,40.9,35.7,177.6
18,"Cherokee",42.6,18.3,54.1,0,9.4,24.0,40.0,36.6,40.2,35.3,177.6
19,"Cherokee",21.2,7.1,45.5,0,6.8,20.3,36.6,34.7,35.3,33.6,305.0
20,"Cherokee",22.7,3.0,54.3,0,2.8,14.3,34.7,34.0,33.6,33.0,206.2
21,"Cherokee",22.3,-0.1,45.2,0,4.5,16.3,34.0,33.5,33.0,32.6,309.5
22,"Cherokee",38.3,19.6,44.3,0,7.0,20.6,33.5,33.4,32.6,32.5,294.5
23,"Cherokee",30.8,12.1,61.4,0,5.1,20.0,33.4,33.3,32.6,32.5,281.1
24,"Cherokee",46.6,8.2,57.5,0,5.1,19.3,33.3,33.1,32.5,32.3,311.2
25,"Cherokee",52.1,29.3,44.7,0,3.5,14.7,33.2,33.1,32.5,32.4,250.1
