"Timestamp","Station","AirTemperatureMax","AirTemperatureMin","RelativeHumidity","Precipitation","WindSpeed2mAvg","WindSpeed2mMax","SoilTemperature5cmMax","SoilTemperature5cmMin","SoilTemperature10cmMax","SoilTemperature10cmMin","SolarRadiation"
1,"Richfield",44.4,21.6,73.8,0,8.2,25.2,39.8,37.0,39.5,37.8,158.0
2,"Richfield",50.9,19.2,58.3,0,2.7,9.9,41.4,36.7,40.0,38.1,25.8
3,"Richfield",28.1,25.8,93.6,0,5.2,12.9,38.7,37.6,38.9,38.3,0
4,"Richfield",30.0,17.6,98.6,0,7.4,20.5,37.8,36.0,38.1,37.3,43.9
5,"Richfield",30.7,0.5,86.6,0,10.3,23.0,35.5,33.6,37.0,35.1,212.6
6,"Richfield",52.9,2.9,84.2,0.01,3.2,9.4,36.4,32.6,35.9,34.0,262.1
7,"Richfield",25.9,17.9,91.7,0,3.5,13.2,34.0,33.3,34.9,34.3,104.3
8,"Richfield",74.7,15.8,65.9,0.05,9.8,19.6,35.7,33.3,35.5,34.2,301.4
9,"Richfield",34.5,16.5,85.6,0,13.5,35.1,34.1,33.2,35.0,34.1,41.3
10,"Richfield",53.3,12.8,65.3,0.04,10.3,24.2,34.0,33.4,34.5,34.1,296.4
11,"Richfield",60.7,19.5,66.5,0,8.6,24.0,36.0,33.2,35.5,33.9,217.2
12,"Richfield",58.7,20.7,65.0,0,7.7,22.9,37.1,33.7,36.3,34.4,270.4
13,"Richfield",56.2,18.2,71.2,0,6.1,26.8,35.7,33.2,35.4,34.0,237.7
14,"Richfield",54.6,16.3,65.1,0,6.7,17.7,35.8,33.2,35.2,33.9,293.6
15,"Richfield",62.5,14.6,53.6,0,7.0,18.3,35.0,32.8,34.6,33.5,300.0
16,"Richfield",60.0,31.7,30.3,0,9.8,20.8,36.5,33.4,35.5,33.7,232.9
17,"Richfield",57.6,23.6,44.0,0,11.7,36.2,37.8,33.3,36.7,33.9,276.4
18,"Richfield",26.5,3.2,79.9,0,10.8,26.5,34.9,33.2,35.7,34.0,133.9
19,"Richfield",22.8,-3.9,64.2,0,6.4,18.3,33.2,32.5,34.1,33.3,282.8
20,"Richfield",17.6,-9.8,74.2,0,8.3,26.8,32.7,32.1,33.3,32.9,172.3
21,"Richfield",37.8,-11.7,62.8,0.09,9.3,19.7,32.1,31.2,32.9,32.4,316.9
22,"Richfield",37.7,14.8,55.7,0,10.9,25.9,32.1,31.3,32.5,32.3,318.1
23,"Richfield",34.5,12.4,63.1,0,10.3,27.6,32.0,31.1,32.5,32.2,298.1
24,"Richfield",56.2,10.0,48.7,0,5.1,15.5,32.1,30.6,32.3,32.0,327.2
25,"Richfield",34.8,22.6,65.9,0,9.2,27.9,32.1,31.9,32.3,32.2,111.7
