"Timestamp","Station","AirTemperature","AirTemperature","RelativeHumidity","Precipitation","WindSpeed2m","WindSpeed2m","SoilTemperature5cm","SoilTemperature5cm","SoilTemperature10cm","SoilTemperature10cm","SolarRadiation","ETo","ETo"
"","","max","min","avg","total","avg","max","max","min","max","min","total","grass","alfalfa"
"","","Â°F","Â°F","%","inches","mph","mph","Â°F","Â°F","Â°F","Â°F","ly","inches","inches"
"2025-01-01","Cheyenne",43.6,11.0,66.6,0,6.8,26.8,34.9,31.8,36.9,34.7,229.4,ET,ET
"2025-01-02","Cheyenne",27.6,13.9,75.0,0,3.1,7.8,35.7,32.1,34.7,34.5,0.2,ET,ET
"2025-01-03","Cheyenne",44.2,12.1,77.3,0,6.7,21.6,34.0,31.4,34.6,33.7,220.8,ET,ET
"2025-01-04","Cheyenne",23.1,12.4,91.2,0,7.5,19.6,32.6,31.5,33.7,33.4,32.7,ET,ET
"2025-01-05","Cheyenne",4.8,4.2,83.5,0,1.6,2.9,30.7,30.7,32.9,32.9,0,ET,ET
"2025-01-06","Cheyenne",27.3,11.1,88.5,0,2.0,5.4,31.4,30.7,32.5,32.5,2.6,ET,ET
"2025-01-07","Cheyenne",14.8,4.1,84.5,0,3.5,6.1,30.6,29.7,32.2,32.1,0,ET,ET
"2025-01-08","Cheyenne",15.7,8.8,81.8,0,4.8,10.0,30.3,29.6,31.6,31.5,0,ET,ET
"2025-01-09","Cheyenne",32.0,16.8,82.9,0,15.3,31.4,30.5,28.9,31.4,31.0,151.8,ET,ET
"2025-01-10","Cheyenne",29.8,25.9,56.1,0,10.3,15.5,30.3,30.2,31.4,31.4,0,ET,ET
"2025-01-11","Cheyenne",44.0,24.8,69.9,0.02,10.1,28.6,31.4,29.9,31.7,31.2,147.5,ET,ET
"2025-01-12","Cheyenne",39.1,15.1,65.6,0,7.4,23.5,31.3,30.5,31.7,31.6,332.5,ET,ET
"2025-01-13","Cheyenne",43.5,12.4,60.4,0,4.9,17.2,30.9,28.8,31.7,30.9,283.5,ET,ET
"2025-01-14","Cheyenne",42.3,20.2,55.1,0,6.5,20.5,30.7,29.4,31.3,30.6,190.9,ET,ET
"2025-01-15","Cheyenne",48.7,16.6,56.1,0,7.6,21.3,31.1,29.0,31.4,30.7,284.7,ET,ET
"2025-01-16","Cheyenne",59.2,26.8,36.9,0,9.7,23.0,31.9,30.0,31.6,31.2,447.3,ET,ET
"2025-01-17","Cheyenne",28.3,23.6,65.7,0,13.2,24.7,31.6,31.5,31.8,31.7,0,ET,ET
"2025-01-18","Cheyenne",24.0,3.2,70.2,0,11.1,24.9,31.5,29.3,31.8,31.5,140.6,ET,ET
"2025-01-19","Cheyenne",20.3,8.6,63.3,0,5.8,14.2,29.1,28.0,30.4,30.1,6.9,ET,ET
"2025-01-20","Cheyenne",12.2,-11.7,52.5,0,10.4,36.0,27.5,24.3,29.9,27.9,286.9,ET,ET
"2025-01-21","Cheyenne",41.6,11.2,45.0,0,8.0,23.8,28.3,24.4,29.0,26.2,316.9,ET,ET
"2025-01-22","Cheyenne",33.1,20.5,54.5,0,11.3,28.0,29.3,28.5,29.8,29.2,67.3,ET,ET
"2025-01-23","Cheyenne",15.2,5.6,67.4,0,6.2,12.9,28.7,27.4,29.9,29.4,0,ET,ET
"2025-01-24","Cheyenne",36.2,29.6,43.8,0,8.4,15.5,30.3,30.2,30.4,30.0,0,ET,ET
"2025-01-25","Cheyenne",23.0,18.8,66.8,0,2.4,4.2,30.7,30.0,31.0,30.9,0,ET,ET
"2025-01-26","Cheyenne",19.4,16.1,81.2,0,6.5,9.4,29.9,29.5,30.8,30.7,0,ET,ET
"2025-01-27","Cheyenne",57.4,9.9,51.0,0,6.4,18.4,31.2,27.4,30.8,29.4,323.9,ET,ET
"2025-01-28","Cheyenne",60.3,16.6,41.9,0,6.3,16.7,31.8,28.5,31.1,30.1,374.5,ET,ET
"2025-01-29","Cheyenne",56.8,14.4,47.9,0.02,4.5,20.3,32.3,29.2,31.3,30.7,354.9,ET,ET
"2025-01-30","Cheyenne",46.7,26.3,85.8,0.04,4.4,17.7,33.8,31.6,31.6,31.3,178.8,ET,ET
"2025-01-31","Cheyenne",60.9,22.7,42.9,0,6.7,17.7,34.2,31.1,31.8,31.6,345.6,ET,ET
"2025-02-01","Cheyenne",61.7,28.1,39.5,0,6.0,22.8,35.0,31.4,31.9,31.8,182.8,ET,ET
"2025-02-02","Cheyenne",63.6,23.0,47.4,0,9.6,34.6,35.4,31.1,32.0,31.9,256.1,ET,ET
"2025-02-03","Cheyenne",36.4,14.7,52.8,0,9.4,18.6,33.6,30.8,32.1,32.0,288.5,ET,ET
"2025-02-04","Cheyenne",24.5,11.1,78.3,0,6.4,16.0,32.4,30.7,32.0,32.0,201.7,ET,ET
"2025-02-05","Cheyenne",60.3,14.1,66.9,0,6.1,18.0,34.5,30.7,32.0,32.0,293.1,ET,ET
"2025-02-06","Cheyenne",47.7,11.6,49.3,0,4.8,23.4,35.0,30.9,32.0,32.0,356.6,ET,ET
"2025-02-07","Cheyenne",49.3,15.7,56.3,0,9.0,30.5,34.4,30.8,32.1,32.0,353.5,ET,ET
"2025-02-08","Cheyenne",29.8,14.0,59.8,0,7.7,30.3,32.2,30.8,32.0,32.0,218.9,ET,ET
"2025-02-09","Cheyenne",43.9,12.3,39.5,0,5.5,15.2,33.8,30.5,32.1,32.0,370.6,ET,ET
"2025-02-10","Cheyenne",41.5,10.1,54.7,0,8.7,27.2,33.5,29.8,32.0,32.0,339.4,ET,ET
"2025-02-11","Cheyenne",10.8,3.0,80.0,0,8.4,19.3,31.2,29.5,32.0,31.9,65.4,ET,ET
"2025-02-12","Cheyenne",7.9,-8.0,76.0,0,7.8,22.0,30.2,29.3,31.9,31.6,352.7,ET,ET
"2025-02-13","Cheyenne",30.3,-11.7,71.0,0,11.1,28.2,29.9,28.2,31.6,31.2,392.1,ET,ET
"2025-02-14","Cheyenne",51.9,22.4,77.6,0.05,8.8,30.8,32.7,29.8,31.6,31.3,289.0,ET,ET
"2025-02-15","Cheyenne",30.3,1.1,85.7,0,11.4,26.0,31.7,31.1,31.8,31.6,209.3,ET,ET
"2025-02-16","Cheyenne",35.1,-3.5,72.6,0.27,5.2,21.3,31.2,30.2,31.9,31.8,408.4,ET,ET
"2025-02-17","Cheyenne",19.4,-3.4,79.5,0,11.3,21.2,31.2,29.5,31.9,31.7,219.1,ET,ET
"2025-02-18","Cheyenne",-2.9,-8.6,75.0,0,8.8,15.4,29.8,29.1,31.7,31.2,275.7,ET,ET
"2025-02-19","Cheyenne",4.8,-17.2,71.0,0,3.4,10.2,30.2,29.8,31.2,31.1,394.7,ET,ET
"2025-02-20","Cheyenne",15.0,-14.7,76.6,0,9.7,21.5,30.4,29.8,31.2,31.0,392.4,ET,ET
"2025-02-21","Cheyenne",25.2,-1.4,78.7,0.13,7.4,17.4,30.4,30.0,31.2,31.1,370.4,ET,ET
"2025-02-22","Cheyenne",44.8,11.7,72.5,0.04,7.1,16.7,31.0,30.0,31.3,31.0,445.6,ET,ET
"2025-02-23","Cheyenne",52.2,24.6,63.2,0,6.1,12.9,31.8,31.0,31.6,31.3,443.7,ET,ET
"2025-02-24","Cheyenne",65.3,30.2,62.7,0,5.7,21.9,33.6,31.8,32.0,31.6,422.2,ET,ET
"2025-02-25","Cheyenne",71.5,32.7,50.7,0,7.6,21.1,38.8,32.0,32.4,32.0,401.2,ET,ET
"2025-02-26","Cheyenne",55.2,26.6,54.5,0,7.8,27.0,37.0,32.0,33.7,32.1,406.7,ET,ET
"2025-02-27","Cheyenne",62.2,26.9,49.0,0,7.9,19.5,38.5,32.1,36.3,32.5,455.6,ET,ET
"2025-02-28","Cheyenne",63.7,30.4,42.1,0,7.0,21.5,41.3,32.8,38.8,33.8,457.0,ET,ET
"2025-03-01","Cheyenne",66.6,23.5,54.1,0,5.0,20.1,43.1,33.6,40.3,35.0,460.1,ET,ET
"2025-03-02","Cheyenne",69.0,31.6,56.2,0,12.0,26.8,43.8,35.5,41.3,36.6,375.9,ET,ET
"2025-03-03","Cheyenne",65.7,39.8,76.6,0,11.5,29.7,47.4,40.4,44.2,40.1,323.2,ET,ET
"2025-03-04","Cheyenne",43.2,29.2,83.4,1.19,22.5,47.7,43.8,37.0,43.5,38.7,138.2,ET,ET
"2025-03-05","Cheyenne",52.6,21.4,59.0,0,8.6,22.5,40.8,34.4,39.2,36.3,478.5,ET,ET
"2025-03-06","Cheyenne",55.7,30.6,49.4,0,11.5,28.2,41.6,36.2,39.9,37.1,286.4,ET,ET
"2025-03-07","Cheyenne",39.3,25.1,75.8,0,10.5,28.6,39.7,36.6,39.6,37.6,245.3,ET,ET
"2025-03-08","Cheyenne",52.5,18.8,59.8,0,5.7,19.5,41.0,34.2,39.5,36.0,493.3,ET,ET
"2025-03-09","Cheyenne",68.6,24.6,45.3,0,6.1,17.6,44.1,34.5,41.4,36.3,498.8,ET,ET
