"Timestamp","Station","AirTemperatureMax","AirTemperatureMin","RelativeHumidity","Precipitation","WindSpeed2mAvg","WindSpeed2mMax","SoilTemperature5cmMax","SoilTemperature5cmMin","SoilTemperature10cmMax","SoilTemperature10cmMin","SolarRadiation"
1,"Manhattan",33.8,24.2,75.6,0,4.1,12.5,39.5,36.3,39.5,37.6,217.7
2,"Manhattan",43.9,18.7,80.0,0,2.2,10.0,37.9,34.6,38.2,36.3,191.2
3,"Manhattan",44.8,22.7,86.9,0,2.0,7.6,39.2,35.5,39.1,36.6,185.7
4,"Manhattan",38.8,28.0,86.8,0,4.9,15.3,38.8,36.1,38.8,37.2,107.6
5,"Manhattan",31.1,28.3,90.9,0.13,2.3,8.3,36.9,36.0,38.0,37.1,56.1
6,"Manhattan",38.7,29.7,86.1,0.03,5.3,19.2,38.2,36.8,38.5,37.5,66.3
7,"Manhattan",37.6,20.7,77.3,0.01,4.7,15.4,37.1,34.8,38.2,36.3,156.6
8,"Manhattan",38.2,31.8,86.9,0.97,7.1,22.4,36.6,36.1,37.3,36.8,22.7
9,"Manhattan",32.0,17.5,83.1,0.01,14.2,35.9,36.1,34.6,36.9,35.8,164.4
10,"Manhattan",35.3,28.5,73.4,0.14,5.5,15.6,34.7,34.4,35.7,35.5,123.2
11,"Manhattan",28.7,14.8,84.8,0,7.4,22.1,34.7,33.8,35.7,35.1,156.1
12,"Manhattan",14.8,0,71.2,0,15.0,30.1,33.9,32.8,35.1,34.0,147.5
13,"Manhattan",3.2,-8.2,60.5,0,11.8,27.8,32.8,32.0,34.1,33.3,201.0
14,"Manhattan",1.4,-10.5,50.9,0,7.1,18.3,32.0,30.9,33.3,32.6,171.8
15,"Manhattan",3.4,-10.6,64.6,0,6.6,22.6,30.9,30.0,32.6,31.9,104.3
16,"Manhattan",11.8,-9.5,52.4,0,6.7,16.0,30.0,29.2,32.0,31.3,280.9
17,"Manhattan",31.2,11.2,54.0,0.09,4.6,15.2,30.8,29.5,31.6,31.2,249.2
18,"Manhattan",34.7,6.1,69.7,0,7.4,31.7,31.1,30.4,31.8,31.5,169.5
19,"Manhattan",11.4,-0.8,58.6,0,8.6,32.6,31.0,29.6,31.8,31.1,283.5
20,"Manhattan",10.5,-5.7,64.3,0,3.0,12.1,29.6,28.8,31.2,30.6,274.7
21,"Manhattan",30.4,5.2,58.5,0,8.6,24.9,30.6,29.2,31.3,30.6,224.3
22,"Manhattan",34.3,29.7,85.8,0.01,6.1,19.9,31.3,30.6,31.6,31.2,74.5
23,"Manhattan",35.0,31.9,97.4,0.41,1.9,8.0,31.7,31.3,31.9,31.5,78.0
24,"Manhattan",38.8,32.3,96.7,0.01,1.4,5.5,31.8,31.7,32.0,31.8,97.6
25,"Manhattan",38.6,32.8,96.8,0.18,1.3,6.0,31.8,31.8,32.0,31.8,54.2
26,"Manhattan",34.2,30.6,93.0,0,4.1,11.5,31.9,31.8,32.2,31.9,61.8
27,"Manhattan",40.2,29.1,89.0,0.01,4.8,12.8,31.9,31.9,32.5,32.2,115.3
28,"Manhattan",55.0,26.1,74.5,0,2.1,6.8,32.0,31.9,32.7,32.4,301.7
29,"Manhattan",61.6,27.4,75.8,0,3.2,10.7,32.3,32.0,33.2,32.6,297.6
30,"Manhattan",59.1,31.2,68.5,0,3.7,13.7,38.8,32.3,37.3,33.1,301.4
31,"Manhattan",68.4,27.9,65.4,0,3.6,15.0,42.6,33.9,40.2,34.8,300.7
32,"Manhattan",70.6,51.0,51.3,0,4.9,17.5,45.6,38.8,43.4,38.8,274.2
33,"Manhattan",68.4,44.4,66.1,0,5.0,24.1,47.3,40.3,45.4,40.7,231.3
34,"Manhattan",52.3,42.3,89.9,0.84,6.5,18.6,46.3,43.9,45.3,43.7,23.2
35,"Manhattan",48.0,34.5,90.0,0.28,6.5,16.0,45.4,41.6,44.9,42.8,54.2
36,"Manhattan",47.5,30.5,89.2,0,4.2,12.1,43.6,39.1,42.8,40.4,193.3
37,"Manhattan",56.6,29.1,78.3,0.01,4.2,16.4,45.4,39.6,44.1,40.4,203.8
38,"Manhattan",59.9,45.6,48.8,0,9.2,25.7,45.5,41.9,44.7,42.4,109.3
39,"Manhattan",62.7,38.1,55.2,0,9.4,27.2,48.8,43.5,47.2,43.8,330.5
40,"Manhattan",56.6,31.7,61.8,0,5.7,18.5,47.1,41.3,45.9,42.5,326.0
41,"Manhattan",40.0,26.2,73.0,0,5.4,14.6,43.3,39.9,44.4,41.4,116.0
42,"Manhattan",44.2,26.7,68.2,0,5.1,16.4,43.4,38.1,42.7,39.6,294.5
43,"Manhattan",54.6,21.2,61.8,0,3.8,19.7,43.0,36.0,42.1,37.9,346.3
44,"Manhattan",63.8,34.1,49.6,0,5.0,18.8,44.8,37.2,43.4,38.7,339.6
45,"Manhattan",68.2,28.4,56.1,0,6.5,29.4,45.9,37.7,44.3,39.3,344.9
46,"Manhattan",46.4,30.4,60.0,0,7.6,26.2,45.0,40.6,44.0,41.5,336.3
47,"Manhattan",33.5,16.7,65.9,0.10,11.7,24.9,40.6,37.0,42.1,38.9,131.3
48,"Manhattan",34.5,7.9,54.3,0.01,7.1,20.8,38.2,34.5,39.0,36.4,375.9
49,"Manhattan",53.9,23.0,50.2,0,4.0,13.9,41.4,34.0,40.1,35.6,383.5
50,"Manhattan",58.2,24.5,56.5,0,4.0,17.0,42.2,34.7,40.8,36.3,280.4
51,"Manhattan",71.0,27.8,49.8,0,4.1,19.0,45.2,35.8,43.2,37.3,379.5
52,"Manhattan",70.8,34.5,55.3,0,2.9,12.8,47.0,39.3,45.1,40.3,308.8
53,"Manhattan",65.8,39.3,51.1,0,6.5,21.4,47.5,41.5,46.1,42.4,324.6
54,"Manhattan",66.0,32.7,44.9,0,7.4,26.7,46.3,40.6,45.3,42.0,335.6
55,"Manhattan",67.6,25.9,46.2,0,5.3,22.1,47.4,39.8,45.8,41.3,390.0
56,"Manhattan",74.5,33.1,38.7,0,4.2,20.1,48.7,40.8,47.0,42.2,397.6
57,"Manhattan",80.6,34.0,34.4,0,3.6,17.7,50.3,41.3,48.0,42.6,399.0
58,"Manhattan",69.4,19.6,51.8,0,11.4,34.2,48.8,42.2,47.4,44.2,386.9
59,"Manhattan",40.7,12.3,44.9,0,6.8,25.6,44.0,37.9,44.2,40.2,422.7
60,"Manhattan",57.5,31.0,32.7,0.03,10.5,26.9,44.9,38.0,43.7,39.8,399.3
61,"Manhattan",55.1,34.3,73.5,0.19,7.3,17.1,45.5,40.6,44.3,41.5,221.7
62,"Manhattan",72.1,29.3,62.0,0,6.5,27.0,48.7,39.6,46.7,41.0,425.5
63,"Manhattan",73.5,46.3,33.1,0,10.3,34.9,51.6,46.4,49.8,46.1,388.5
64,"Manhattan",62.1,39.4,55.8,0,8.0,21.2,51.1,45.8,49.7,46.5,300.2
65,"Manhattan",61.2,31.8,49.8,0,7.0,22.8,49.3,43.9,48.3,45.3,412.2
66,"Manhattan",63.2,27.3,52.5,0,3.7,16.8,48.7,42.0,47.5,43.7,313.6
67,"Manhattan",47.1,35.5,80.7,0.30,4.1,17.1,45.9,43.5,46.6,44.6,46.5
68,"Manhattan",46.7,33.0,76.6,0,11.5,26.1,45.8,41.9,46.0,43.4,111.7
69,"Manhattan",55.8,27.1,46.0,0,5.1,22.8,46.7,38.9,45.5,40.9,465.2
70,"Manhattan",67.6,23.4,46.2,0,5.3,19.8,48.9,38.8,46.8,40.8,463.5
71,"Manhattan",73.3,46.3,37.4,0,10.3,30.0,51.6,43.6,49.4,44.4,461.3
72,"Manhattan",71.2,46.2,48.5,0,6.3,23.3,53.5,46.7,51.3,47.3,343.7
73,"Manhattan",73.0,35.7,69.6,0.87,4.7,28.3,52.8,45.7,51.7,46.9,309.1
74,"Manhattan",61.1,46.7,80.0,0,9.7,21.7,53.7,49.5,52.2,49.8,259.7
75,"Manhattan",62.7,39.4,57.2,0,6.5,19.1,54.5,48.2,52.8,49.1,457.8
76,"Manhattan",65.0,38.8,51.2,0,7.2,21.7,52.8,47.2,51.7,48.3,404.5
77,"Manhattan",46.4,27.2,48.5,0,8.0,28.4,48.8,44.1,49.6,46.2,497.9
78,"Manhattan",45.2,20.5,44.8,0,6.0,19.3,47.1,40.8,46.6,43.0,511.2
79,"Manhattan",70.6,29.8,36.9,0,6.4,17.8,50.9,41.8,49.1,43.3,495.7
80,"Manhattan",55.5,32.2,43.8,0,6.7,23.0,49.5,43.6,48.4,45.0,499.0
81,"Manhattan",63.5,35.1,38.0,0,5.7,18.6,51.3,43.5,49.5,44.9,454.9
82,"Manhattan",52.8,33.1,66.1,0,11.3,30.9,50.4,46.2,49.6,47.3,448.2
83,"Manhattan",45.8,28.2,55.8,0,6.9,23.5,47.2,43.9,47.5,45.4,276.6
84,"Manhattan",54.0,38.7,69.8,0.10,10.1,30.9,47.4,44.7,47.4,45.6,60.1
85,"Manhattan",60.6,31.0,73.5,0,9.7,22.1,53.8,46.9,51.6,47.3,365.6
86,"Manhattan",39.1,25.2,68.2,0.02,11.3,24.4,46.9,41.7,48.4,44.0,308.8
87,"Manhattan",53.1,18.9,47.7,0,2.5,13.0,49.0,38.6,47.1,41.1,468.5
88,"Manhattan",69.8,33.0,44.9,0,9.1,24.7,52.4,41.9,49.7,43.3,509.3
89,"Manhattan",76.0,46.7,50.5,0,9.7,25.3,56.3,46.5,53.2,47.1,501.2
90,"Manhattan",64.5,40.1,54.1,0,6.7,20.2,55.0,48.0,53.0,48.9,512.6
91,"Manhattan",74.5,51.0,63.3,0,6.0,17.1,58.0,50.3,55.5,50.6,367.8
92,"Manhattan",73.6,44.8,73.6,0,8.7,20.5,57.8,52.9,55.8,53.0,277.1
93,"Manhattan",60.9,37.5,60.3,0.22,14.1,33.2,53.7,49.0,53.6,50.5,403.8
94,"Manhattan",58.7,36.8,43.6,0,12.4,29.6,52.1,46.4,51.2,48.1,572.1
95,"Manhattan",64.7,32.3,37.9,0,5.9,19.2,52.8,44.8,51.4,46.9,583.5
96,"Manhattan",68.0,27.9,42.4,0,5.8,19.6,54.2,44.5,52.1,46.5,503.6
97,"Manhattan",74.9,45.8,46.9,0.03,11.4,38.3,55.0,48.4,53.5,49.3,406.4
98,"Manhattan",67.1,36.1,44.9,0,10.2,38.9,55.6,48.5,53.9,49.9,528.2
99,"Manhattan",68.4,38.7,44.7,0,4.6,16.4,56.6,48.2,54.5,49.7,474.9
100,"Manhattan",69.3,36.2,50.7,0,3.0,17.0,57.4,48.1,55.1,49.8,567.3
101,"Manhattan",74.1,42.4,44.0,0,4.6,25.1,57.6,49.7,55.6,51.0,411.9
102,"Manhattan",66.1,42.3,30.4,0,13.8,33.2,56.2,50.8,54.9,52.1,588.1
103,"Manhattan",72.9,35.3,30.7,0,4.0,18.7,58.9,47.8,56.2,49.8,598.3
104,"Manhattan",88.8,57.1,34.2,0,10.4,29.4,62.1,52.3,59.2,53.0,577.1
105,"Manhattan",86.7,57.7,50.4,0,4.2,21.8,65.8,56.1,62.4,56.5,580.4
106,"Manhattan",83.1,56.2,69.5,0,8.2,27.9,65.6,57.5,62.8,58.0,360.6
107,"Manhattan",78.5,59.8,51.7,0.84,13.7,34.0,66.3,60.6,64.1,61.4,548.2
108,"Manhattan",79.0,56.0,44.4,0.50,6.8,22.0,66.2,57.7,63.8,58.8,601.2
109,"Manhattan",63.5,42.1,70.9,0.51,12.5,33.7,58.7,54.0,60.2,55.8,270.4
110,"Manhattan",61.1,38.7,47.4,0,3.6,14.2,60.5,51.7,58.9,53.5,505.3
111,"Manhattan",53.1,38.7,42.3,0,6.6,18.6,56.1,52.4,56.7,54.0,340.8
112,"Manhattan",63.6,35.9,47.0,0,4.0,19.5,58.1,50.2,56.7,51.9,639.6
113,"Manhattan",72.5,62.8,37.5,0,12.1,33.9,58.3,55.7,57.3,54.2,523.2
114,"Manhattan",75.8,51.0,39.3,0,6.8,22.2,60.6,55.5,59.1,55.9,526.5
115,"Manhattan",70.8,43.5,43.4,0,2.5,12.8,60.6,53.3,59.2,54.7,462.5
116,"Manhattan",62.2,52.6,80.5,1.62,8.3,27.3,58.5,55.5,58.2,56.3,139.9
117,"Manhattan",81.0,56.3,62.0,0,10.4,35.7,64.6,57.6,62.5,57.6,482.3
118,"Manhattan",76.7,52.0,70.0,0.10,5.5,52.1,63.4,58.2,61.9,58.9,202.9
119,"Manhattan",69.2,50.0,77.1,0.13,6.5,21.9,65.3,59.9,63.5,60.1,300.2
120,"Manhattan",77.3,42.5,62.5,0,3.5,19.1,66.2,56.3,63.9,57.8,604.8
121,"Manhattan",86.1,55.2,56.6,0.05,7.5,28.7,68.0,60.4,66.0,60.9,587.4
122,"Manhattan",71.2,54.3,62.5,0.14,5.1,19.0,64.9,60.6,64.0,61.2,316.2
123,"Manhattan",70.6,50.7,79.2,0.96,6.8,22.8,64.5,60.5,63.7,61.9,314.1
124,"Manhattan",75.4,45.2,69.3,0,5.1,19.3,66.5,57.8,64.8,59.3,606.7
125,"Manhattan",66.0,49.3,74.5,0.19,7.4,33.1,64.8,60.5,64.0,61.8,480.7
126,"Manhattan",62.5,47.3,76.6,0,4.5,15.0,62.6,58.3,62.1,59.6,315.8
127,"Manhattan",72.0,51.8,86.4,0.44,6.8,43.7,62.7,60.2,62.2,60.6,99.5
128,"Manhattan",78.1,45.8,60.1,0.01,4.2,20.7,66.9,57.6,65.0,59.0,679.2
129,"Manhattan",78.8,55.2,40.9,0,7.9,23.1,66.8,60.6,65.4,61.5,667.5
130,"Manhattan",76.0,51.4,50.6,0,6.7,25.3,66.2,59.5,65.0,60.8,663.2
131,"Manhattan",79.2,49.8,51.6,0,4.2,19.0,67.3,59.8,65.8,61.1,598.6
132,"Manhattan",81.1,50.2,52.7,0,2.8,16.8,68.6,60.4,66.8,61.7,669.0
133,"Manhattan",75.4,56.2,62.7,0,4.3,16.8,66.7,62.4,66.0,63.2,361.1
134,"Manhattan",64.3,54.7,88.7,1.56,5.9,18.0,64.7,62.1,65.1,63.0,115.8
135,"Manhattan",76.9,50.8,59.7,0,5.0,16.3,67.8,59.9,66.3,61.2,673.5
136,"Manhattan",67.9,52.5,86.5,0.81,2.9,35.9,64.9,61.8,64.5,62.6,159.4
137,"Manhattan",77.4,55.3,73.7,0.05,3.1,11.3,69.7,62.7,67.9,62.9,606.4
138,"Manhattan",82.4,51.0,62.9,0,3.7,16.1,71.4,62.0,69.1,63.2,648.0
139,"Manhattan",88.2,66.0,57.5,0,4.6,13.9,74.8,65.5,71.9,65.9,658.9
140,"Manhattan",85.7,62.0,64.8,1.89,5.4,34.6,73.1,67.1,70.9,67.6,407.9
141,"Manhattan",81.2,58.7,73.2,0,4.2,15.4,73.9,65.6,71.7,66.4,450.8
142,"Manhattan",85.2,56.7,66.2,0,9.6,31.9,74.5,67.7,72.1,68.9,475.7
